dbm,checksum,linkQualityIndicator,duration,syncMode,baud,mancEncoding,payload
-74.5,True,63,0.924451,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864494,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864287,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.86429,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864753,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864443,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864674,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.867377,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864247,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,0,0.864363,0,300,False,fffffffffffffffffffffffffffffffffffffffffffffffffffffffffe00
-74.5,True,63,0.86437,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864153,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864076,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-67.5,False,32,0.865396,0,300,False,fffffffffffffffffffc1f07c00000000000000000000000000000004000
-74.5,True,63,0.864383,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864403,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,0,0.864631,0,300,False,fffffffffffffffffffffffffffffffffffffffffe1f83e0000000000000
-74.5,True,63,0.864303,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-73.5,True,24,0.865932,0,300,False,ffffffffffffffffffffffffffffffc28000000000000000000000028000
-74.5,True,63,0.864137,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.0,False,0,0.864141,0,300,False,fffffffffffffffffffffffffffffffffffffffffffffffffffffffc0000
-74.5,True,63,0.864699,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864336,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-73.5,False,4,0.864583,0,300,False,fffffffffffffffffffffffffffffffffffffffffffff800000000000000
-74.5,True,63,0.863971,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.865124,0,300,False,fffffffff7bf8002000ff000000003ffff4235ffffffffffffffffffffff
-74.0,False,2,0.865447,0,300,False,ffffffffffffffffffffffffffffffffffc18000000000000000000003c0
-74.5,True,63,0.864264,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-70.5,True,56,0.86559,0,300,False,fffffffffffffffffffffffffc0000000000000000000014800019e00800
-74.0,False,0,0.865192,0,300,False,fffffffffffffffffffffffffffffffffffffffffffffffffffe1f000000
-74.5,True,63,0.864492,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-73.0,False,0,0.86441,0,300,False,fffffffffffffffffffffffffffffffffffffff0fc000000020000000000
-74.5,True,63,0.864224,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-76.0,False,0,0.866035,0,300,False,fffffffffffffffffffffffc832000000000000000000200001ff0000007
-106.0,False,0,0.864365,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864408,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-106.0,False,0,0.866568,0,300,False,fffffffffffffffffffffffff07c0000000000000000000000ee00062077
-74.5,True,63,0.864252,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-73.0,True,0,0.864366,0,300,False,fffffffffffffffffffffffffffffffffffffffe836000000c0000000000
-74.5,True,63,0.864147,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-58.0,False,0,0.865203,0,300,False,fffffffffffffffffffffffffffffffffffffe0f8000000000000140000b
-74.5,True,63,0.864593,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.864809,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-42.5,False,7,0.86605,0,300,False,ffffffffffffffffffffffffffffffffff0fc1f07c1f07e1f83e0f83f0fc
-82.0,True,60,0.867167,0,300,False,ff83e0f83f0fc3f07c1f87e0f83e0fc3f0fc3f07c1f87e1f87e1f83e0fc3
-58.5,False,7,0.869519,0,300,False,f07e1f87e1f87e1f87e1f83e0f83f0fc3f0fc1f07e1f87e1f83e0fc3f07c
-89.5,True,56,0.870821,0,300,False,ff87e1f83f0fc3f0fc3f0fc1f07f1fc7e1f87e0f83e0fc3f07e1f87e1f87
-70.0,False,63,0.8684,0,300,False,e0fc3e0f83f07c1f87e1f87e00000000000000c00001fc018000fb000000
-74.5,True,63,0.864168,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
