dbm,checksum,linkQualityIndicator,duration,syncMode,baud,mancEncoding,payload
-74.5,True,63,0.225974,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.11867,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065154,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-59.0,False,63,1.296104,0,300,True,9f9fe19f999e187981f9ff98007e061987867f9fe61861981e061e181980
-135.0,False,7,0.654336,0,600,True,80019ff8781999f87f9e7f879fffe01e00066066019fe6061e07806781ff
-87.0,False,25,0.333077,0,1200,True,e07fe7e007e18187ffe6781e079f867998661f986799e7fe601fe1e7e781
-123.0,False,38,0.172799,0,2400,True,9f81ffe186061f807fe7e1987fe667819980018798067e7980067e019f81
-134.5,True,31,0.09264,0,4800,True,e019f987999f987ff987f9e79e7e6786781e07f818799f87e0018001f981
-74.5,True,63,0.864356,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438384,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225019,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118828,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065415,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-70.5,True,33,1.296213,0,300,True,e67f819f81e01867879807f9ffff86799e1e7e01e6067e7e060679fff980
-22.5,True,56,0.654385,0,600,True,987fe1f9e1f87f819e7999e787860019e7ff8619986061e61f9e1fe7f9fe
-137.5,True,7,0.332835,0,1200,True,9818079f9f8798019e018798078199f8007fe1987e1981fe661981e07ff9
-123.0,False,63,0.17232,0,2400,True,f81f9fe1fe780060079ff806679e0679e061e1f9fe7e67807fe667e607e1
-22.5,True,0,0.092127,0,4800,True,99ffe7ff9f87fff80061e7fe007e619987878666666199e0067e78601878
-74.5,True,63,0.864341,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438279,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225061,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118873,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065487,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-13.5,True,7,1.296783,0,300,True,e66001e1f87f9ff9e7ff81e181f8607fe0667f9806079878661e67fe619e
-90.0,False,31,0.654182,0,600,True,fe0181e1fe079f87e67e7fff8661fff9866066781fe799e19e67878067e7
-126.0,False,32,0.333201,0,1200,True,e0007fe19807e19801e61e619f8187819e6678787f81e679fff807e66079
-90.0,False,63,0.172548,0,2400,True,e799867f999f980679e6661e00607e7e01f9999f980601fe1998666001e1
-58.5,True,6,0.092562,0,4800,True,999ffe018181f986001e061ff9879800666678661fe601867fe018180078
-74.5,True,63,0.864151,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.438064,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.225206,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.118284,0,2400,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.064988,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-126.0,False,24,1.296193,0,300,True,99e1e01e606787e79e1fffe781f980181e7867f8618198798679e61fe199
-22.5,True,24,0.65401,0,600,True,f9e67e798018186787e1e7e1e007e619801f8001fff9fe780181fe06607e
-75.0,False,30,0.333025,0,1200,True,86019e1e7f800187861981fe07e61fe007e79ff807e79879f99801878601
-75.0,False,33,0.172542,0,2400,True,fe18186601ffe61e0061fe780601fe0786679807e667e1ff80061f81f81f
-70.5,True,56,0.092087,0,4800,True,81fffe1f98000067e7879e619f866798607fff81fe61f806781e00199e1e
-74.0,False,0,0.866195,0,300,False,ffffffffffffffffffffffffffffffffffffffffffffff0fc3f000000000
-74.5,True,63,0.439084,0,600,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.224907,0,1200,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-72.0,True,0,0.119258,0,2400,False,fc0f12240f10000000001e67d99225c8400000000f12e440000020000000
-74.5,True,63,0.065461,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
