dbm,checksum,linkQualityIndicator,duration,syncMode,baud,mancEncoding,payload
-46.5,True,32,0.065148,0,4800,False,ffe0000000000000000000000000000000000000000df8306fc183060c18
-30.0,False,63,0.065688,0,4800,False,ffffe0000000000000000000040000000000000000000df8306fc183060c
-22.0,False,0,0.065103,0,4800,False,fffffffe000000000000000813e0400000000000000200004f8102fc0810
-74.5,True,63,0.065292,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065024,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.064986,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065631,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-73.0,True,25,0.065848,0,4800,False,fc0000000000000000000000000000000000002fc0813e0c18182063bf17
-41.5,False,0,0.067953,0,4800,False,ff000000000000000000000000000000000007fc1027c0911614d817e0c2
-74.0,False,0,0.065202,0,4800,False,fe0000000000000000000000000000000000001bf0409f02040810205f81
-73.0,False,0,0.065312,0,4800,False,f000000000000000000000000000000000000000000000020510000400dc
-74.5,True,63,0.064942,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
-74.5,True,63,0.065788,0,4800,False,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
